VENDEDOR,CLIENTE,PRODUTO,QUANTIDADE,UNIDADE_MEDIDA_NF,PREÇO_NF,DATA_NF,CRP_AJUSTADO,VLR_PRECO_LISTA,VLR_CONTRIBUICAO
389,2345,411,1753,KGS,"30,485",4/3/2010,"19,10","36,75",  19.962 
371,12801,194,1753,KGS,"5,733",7/23/2009,"4,54","7,92",  2.095 
389,2345,411,1753,KGS,"30,342",4/22/2010,"19,01","36,57",  19.870 
401,24596,1488,1051,KGS,"51,285",9/24/2009,"32,09","61,75",  20.171 
389,2345,411,1753,KGS,"30,355",5/6/2010,"19,01","36,57",  19.893 
389,2345,411,1753,KGS,"30,264",4/8/2010,"18,95","36,47",  19.834 
389,2345,411,1753,KGS,"30,212",4/29/2010,"18,92","38,42",  19.801 
389,2345,411,1753,KGS,"29,848",4/15/2010,"18,69","35,96",  19.567 
401,23527,1335,262,KGS,"242,268",6/29/2009,"149,82","322,16",  24.222 
318,8013,411,5259,KGS,"33,644",5/15/2010,"20,14","40,91",  70.999 
399,15430,76,7012,KGS,"17,303",3/28/2009,"10,44","18,89",  48.107 
401,24596,1476,2279,KGS,"31,967",7/30/2009,"19,62","37,75",  28.147 
318,37115,345,87,KGS,"40,521",6/6/2009,"44,87","136,72",  (379)
371,12801,194,1972,KGS,"5,759",9/4/2009,"4,30","7,64",  2.879 
318,4428,1365,7994,KGS,"15,054",12/6/2009,"9,08","25,51",  47.794 
318,23552,1335,657,KGS,"260,429",8/30/2009,"155,85","335,15",  68.706 
319,26004,7,2629,KGS,"5,2",4/9/2009,"3,72","6,61",  3.885 
319,22504,76,438,KGS,"17,407",4/2/2009,"14,17","27,01",  1.417 
47,30521,75,6048,KGS,"2,366",2/3/2009,"1,67","2,89",  4.199 
371,25654,194,2629,KGS,"5,694",8/10/2009,"3,97","7,04",  4.534 
435,25134,1485,87,KGS,"38,701",10/7/2010,"41,46","65,91",  (240)
389,2345,411,1753,KGS,"33,007",6/28/2010,"20,34","46,48",  22.203 
389,2345,411,1753,KGS,"32,942",6/14/2009,"20,30","41,23",  22.161 
431,25174,192,876,KGS,"10,569",9/30/2010,"8,05","15,80",  2.203 
389,2345,411,1753,KGS,"32,539",6/18/2010,"20,05","45,82",  21.888 
428,30874,76,876,KGS,"23,387",5/27/2010,"15,58","27,66",  6.838 
371,12801,194,1753,KGS,"5,759",9/4/2009,"4,30","7,87",  2.560 
371,12801,194,1753,KGS,"5,733",8/24/2009,"4,28","7,82",  2.543 
371,12801,194,1753,KGS,"5,72",9/13/2009,"4,27","7,81",  2.535 
